title,category,authors,publisher,registeredDate,doingsChoices,link,memo
꽁치의 옷장엔 치마만 100개,어린이 그림책 ,"이채 글, 이한솔 그림",리젬,2018-09-21,http://cafedoing.com/220994176720,https://book.naver.com/bookdb/book_detail.nhn?bid=9126799,
꽃들에게 희망을,어린이 그림책 ,트리나 폴러스,시공주니어,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=176626,
꽃할머니,어린이 그림책 ,권윤덕,사계절,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6287947,
나는 아이로서 누릴 권리가 있어요,어린이 그림책 ,알랭 세레,고래이야기,2018-09-21,http://cafedoing.com/220999079809,https://book.naver.com/bookdb/book_detail.nhn?bid=6426311,
날개옷을 훔쳐 간 나무꾼은 어떻게 됐을까?,어린이 그림책 ,이향안,가나출판사,2018-10-26,,https://book.naver.com/bookdb/book_detail.nhn?bid=13409411&sug=thumb,
내 멋대로 공주,어린이 그림책 ,배빗 콜,비룡소,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=1548147,
내 이름은 삐삐 롱스타킹,어린이 그림책 ,"아스트리드 린드그렌 글, 롤프 레티시 그림",시공주니어,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=174815,
내 이름이 담긴 병,어린이 그림책 ,최양숙,마루벌,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=4641010,
누가 진짜 나일까?,어린이 그림책 ,다비드 칼리,책빛,2018-09-21,http://cafedoing.com/221164927915,https://book.naver.com/bookdb/book_detail.nhn?bid=12166311,
다정한 손길 (어린이 성폭력 예방을 돕는 이야기),어린이 그림책 ,"샌디 클레븐 글, 조디 버그스마 그림",내인생의책,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2086435,
달라서 좋아요 !,어린이 그림책 ,후세 야스코,대교출판,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2927025,
달라질거야,어린이 그림책 ,앤서니 브라운,아이세움,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=166756,
동생이 태어날 거야,어린이 그림책 ,"존 버닝햄, 헬린 옥슨버리",웅진주니어,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6354259,
돼지책,어린이 그림책 ,앤서니 브라운,웅진주니어,2018-09-21,http://cafedoing.com/221144426315,https://book.naver.com/bookdb/book_detail.nhn?bid=170132,
두들겨패줄거야,어린이 그림책 ,페르닐라 스탈펠트,시금치,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7721935,
드가,어린이 그림책 ,애플비 편집부,애플비,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=4545572,
루비의 소원,어린이 그림책 ,S.Y.브리지스 글. 블랙올 그림,비룡소,2019-03-20,,https://book.naver.com/bookdb/book_detail.nhn?bid=168594,
루소,어린이 그림책 ,,애플비,2018-09-21,,,
르누아르,어린이 그림책 ,,애플비,2018-09-21,,,
마티스,어린이 그림책 ,,애플비,2018-09-21,,,
멍멍 의사 선생님,어린이 그림책 ,배빗 콜,보림,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=182713,
모네,어린이 그림책 ,,애플비,2018-09-21,,,
미영이,어린이 그림책 ,전미화,문학과지성사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=9101799,
바솔러뮤 커빈즈의 모자 500개,어린이 그림책 ,닥터 수스,시공주니어,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=176497,
부와 가난은 어떻게 만들어지나요,어린이 그림책 ,"모니크 팽송-샤를로, 미셸 팽송",레디앙,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=9575839,
분홍모자,어린이 그림책 ,"앤드루 조이너 글,그림",이마주,2019-03-20,,https://book.naver.com/bookdb/book_detail.nhn?bid=13220887,
비밀,어린이 그림책 ,허은미,문학동네,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7117666,
산딸기 크림 봉봉,어린이 그림책 ,"에밀리 젠킨스 글, 소피 블래콜 그림",,2019-03-20,,https://book.naver.com/bookdb/book_detail.nhn?bid=10835373,
샘과 데이브가 땅을 팠어요,어린이 그림책 ,"존 클라센, 맥 바넷",시공주니어,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7986607,
세 엄마 이야기,어린이 그림책 ,신혜원,사계절,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=4640209,
세월호 이야기,어린이 그림책 ,한뼘작가들 글,별숲,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=8108662,
"셜리야, 물가에 가지마!",어린이 그림책 ,"존 버닝햄 글,그림",비룡소,2019-03-20,,https://book.naver.com/bookdb/book_detail.nhn?bid=166322,
소금이,어린이 그림책 ,김우경(글)/장순일(그림),고인돌,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=11913311,
슬픈 란돌린,어린이 그림책 ,"카트린 마이어 글, 아네테 블라이 그림",문학동네,2019-03-20,,https://book.naver.com/bookdb/book_detail.nhn?bid=182387,
시스터즈 만화로 보는 여성 투쟁의 역사,어린이 그림책 ,마르타 브린,한겨레출판,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=13718996,
시애틀 추장의 편지,어린이 그림책 ,"시애틀 추장, 탁영호",고인돌,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=12451797,
싫어 몰라 하지 말로 왜 그런지 말해봐,어린이 그림책 ,"이찬규 글, 김현정 그림",두산동아,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=1457544,
어린왕자,어린이 그림책 ,생텍쥐페리,더스토리,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10882342,
어린왕자 출간70주년 기념 갈리마르 에디션,어린이 그림책 ,생텍쥐페리,문예출판사,2019-12-11,,http://book.naver.com/bookdb/book_detail.nhn?bid=15875818,
어린이 페미니즘 학교,어린이 그림책 ,"초등성평등연구회 글, 이해정 그림",우리학교,2018-09-21,http://cafedoing.com/221359018773,https://book.naver.com/bookdb/book_detail.nhn?bid=13976546,
엄마 나무를 찾아요,어린이 그림책 ,"정여랑, 이연",위키드위키,2019-12-06,,http://book.naver.com/bookdb/book_detail.nhn?bid=15909477,
엄마가 알을 낳았대,어린이 그림책 ,배빗 콜,보림,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6015872,
엄마는 해녀입니다,어린이 그림책 ,고희영,난다,2018-09-21,http://cafedoing.com/221143342948,https://book.naver.com/bookdb/book_detail.nhn?bid=12129939,
엄마를 빌려 줄게,어린이 그림책 ,최재숙,아이세움,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=1509639,
엄마의 초상화,어린이 그림책 ,유지연,이야기꽃,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=8143125,
"여자 남자, 할 일이 따로 정해져 있을까요?",어린이 그림책 ,"나카야마 치나쓰 글, 야마시타 유조 그림",고래이야기,2019-03-20,,https://book.naver.com/bookdb/book_detail.nhn?bid=13587630,
여자가 되자!,어린이 그림책 ,"요헨 틸, 아리문트 프라이",아름다운 사람들,2020-02-12,,http://book.naver.com/bookdb/book_detail.nhn?bid=16236956,
여자와 남자는 같아요,어린이 그림책 ,"플란텔 글,루시 구티에레스 그림",풀빛,2019-03-20,,https://book.naver.com/bookdb/book_detail.nhn?bid=11514939,
우뇌를 보고 느끼는 색칠놀이,어린이 그림책 ,신현경,호밀밭,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7883759,
원피스를 입은 모리스,어린이 그림책 ,"크리스틴 발다키노 글, 이자벨 말랑팡 그림",키다리,2019-03-20,,https://book.naver.com/bookdb/book_detail.nhn?bid=10311110,
이렇게 자 볼까? 저렇게 자 볼까? ,어린이 그림책 ,이미애,보림,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=11611134,
이상해,어린이 그림책 ,나카야마 치나쓰,고래이야기,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6177263,
자꾸 마음이 끌린다면,어린이 그림책 ,페르닐라 스탈펠트,시금치,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=11052482,
조국을 떠난 사람들,어린이 그림책 ,정명림,우리교육,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10823938,
조금 다르면 어때?,어린이 그림책 ,"윤정선 글, 홍지혜 그림",웃는돌고래,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7577989,
종이봉지공주,어린이 그림책 ,로버트 먼치,비룡소,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=182678,
"좋아서 껴안았는데, 왜?",어린이 그림책 ,"이현혜 글, 이효실 그림",천개의 바람,2019-03-20,,https://book.naver.com/bookdb/book_detail.nhn?bid=9832705,
죽으면어떻게돼요?,어린이 그림책 ,페르닐라 스탈펠트,시금치,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7721934,
직녀와 목화의 바느질 공방,어린이 그림책 ,장순일,고인돌,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=12583990,
처음 만나는 공공장소,어린이 그림책 ,권재원,창비,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7918145,
첫사랑,어린이 그림책 ,"브라네 모제티치, 마야 카스텔리츠",움직씨,2018-11-04,,https://book.naver.com/bookdb/book_detail.nhn?bid=13783858,
초원을 달리는 수피아,어린이 그림책 ,곽영미,숨쉬는책공장,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=8521822,
치로누푸 섬의 여우,어린이 그림책 ,다카하시 히로유키,담푸스,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6649913,
"치마를 입어야지, 아멜리아 블루머!",어린이 그림책 ,섀너 코리,아이세움,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=166425,
클레,어린이 그림책 ,,애플비,2018-09-21,,,
터널,어린이 그림책 ,앤서니 브라운,논장,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=182140,
틀려도 괜찮아,어린이 그림책 ,"마키타 신지 글, 하세가와 토모코 그림",토토북,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2098049,
할머니의 여름 휴가,어린이 그림책 ,안녕달,창비,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10750051,
호미 아줌마랑 텃밭에 가요,어린이 그림책 ,장순일,보리,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6937607,
걷기여행 1~4 ,여행,김남희,미래,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2953222,
소도시 여행의 로망,여행,"글 고선영, 사진 김형호",시공사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6387065,
"소심하고 겁 많고 까탈스러운 여자 혼자 떠나는 걷기 여행 1,3,4",여행,김남희,미래인,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=158222,
여행 좋아하세요?,여행,유이,또하나의문화,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2518728,
여행여락,여행,여행여락,여행여락,2018-09-21,http://cafedoing.com/221056770146,,
여행여락 창간호 2019,여행,여행여락,여행여락,2019-02-14,,https://tumblbug.com/femitravelmagazine,
유럽의 책마을을 가다,여행,정진국,생각의 나무,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=4547622,
"이제, 당신이 떠날 차례",여행,강가희,책밥,2019-07-17,,https://book.naver.com/bookdb/book_detail.nhn?bid=14931199,
인연 언젠가 만날,여행,이해선,꿈의지도,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6469073,
지구에서 단 하나뿐인 하루들,여행,박정호,플럼북스,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6016969,
희망을 여행하라,여행,"이매진피스 임영신, 이혜영",소나무,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6030068,
1% 독서법 ,일반 서적,안나미 아쓰시,책밥,2019-07-17,,https://book.naver.com/bookdb/book_detail.nhn?bid=15057006,
7년의 밤 ,일반 서적,정유정,은행나무,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6586721,
관능적인 삶,일반 서적,이서희,그책,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7340454,
권력과 검찰,일반 서적,최강욱,창비,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=12106737,
그 형편에도 같이 하는게 좋더라,일반 서적,한재랑,제정구기념사업회,2018-12-22,,http://book.naver.com/bookdb/book_detail.nhn?bid=14372670,
나는 고양이로소이다,일반 서적,나쓰메 소세키,문예출판사,2019-05-14,,https://book.naver.com/bookdb/book_detail.nhn?bid=14861040,
나는 너를 용서하기로 했다,일반 서적,마리나 칸타쿠지노,부키,2019-02-14,,https://book.naver.com/bookdb/book_detail.nhn?bid=13298653,
나랏말싸미 맹가노니 ,일반 서적,이송원,문예출판사,2019-08-01,,https://book.naver.com/bookdb/book_detail.nhn?bid=15297315,
낭만적 연애와 그 후의 일상,일반 서적,알랭 드 보통,은행나무,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10961900,
네가 어떤 삶을 살든 나는 너를 응원할 것이다,일반 서적,공지영,오픈하우스,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10974970,
단어의 발견,일반 서적,차병직,낮은산,2018-10-10,,https://book.naver.com/bookdb/book_detail.nhn?bid=14049450&sug=thumb,
"당신에게, 파리",일반 서적,목수정,꿈의 지도,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10992873,
도련님,일반 서적,나쓰메 소세키,문예출판사,2019-07-03,,https://book.naver.com/bookdb/book_detail.nhn?bid=15065826,
먹고 기도하고 사랑하라 ,일반 서적,엘리자베스 길버트,솟을북,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=4298588,
메시지가 미디어다,일반 서적,유승찬,나무바다,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=13743439,
미루기의 천재들,일반 서적,앤드루 산텔라,어크로스,2019-02-20,,https://book.naver.com/bookdb/book_detail.nhn?bid=14519459,
베로니카 죽기로 결심하다,일반 서적,파울로 코엘료,문학동네,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=132298,
불안,일반 서적,알랭 드 보통,은행나무,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6793081,
비폭력대화,일반 서적,마셜B.로젠버그,한국NVC센터,2019-04-12,http://cafedoing.com/221515169097,https://book.naver.com/bookdb/book_detail.nhn?bid=12863442,
사는게 뭐라고,일반 서적,사노요코,마음산책,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=9272737,
사람 장소 환대,일반 서적,김현경,문학과지성사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=8939263,
사람풍경 : 김형경 심리 여행 에세이,일반 서적,김형경,사람풍경,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6857604,
사랑의 기술,일반 서적,에리히 프롬,문예출판사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=203699,
사적인 서점이지만 공공연하게,일반 서적,정지혜,유유,2018-12-30,,http://book.naver.com/bookdb/book_detail.nhn?bid=14049212,
상실수업,일반 서적,"엘리자베스 퀴블러 로스, 데이비드 케슬러",이레,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2856324,
생각의 일요일들,일반 서적,은희경,달,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6683579,
선한 분노,일반 서적,박성미,아마존의나비,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=8953761,
소비 수업,일반 서적,윤태영,문예출판사,2020-02-19,,http://book.naver.com/bookdb/book_detail.nhn?bid=16266852,
식물의 책,일반 서적,이소영,책읽는수요일,2019-12-27,,http://book.naver.com/bookdb/book_detail.nhn?bid=15656112,
쓰기의 말들,일반 서적,은유,유유,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10899254,
아무도 무릎꿇지 않는 밤,일반 서적,목수정,생각정원,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=11154811,
안녕 주정뱅이 ,일반 서적,권여선,창비,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10598956,
어둠속의 희망,일반 서적,리베커 쏘울닛,창비,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2613774,
어린 완자: 0629 에디션,일반 서적,생텍쥐페리,문예출판사,2020-07-08,,http://book.naver.com/bookdb/book_detail.nhn?bid=16386460,
에어프라이어 홈베이킹,일반 서적,김자은,책밥,2019-07-17,,https://book.naver.com/bookdb/book_detail.nhn?bid=15056265,
"오늘도, 무사",일반 서적,요조,북노마드,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=13733321,
완전한 영혼,일반 서적,정찬,문학과지성사,2019-02-14,,https://book.naver.com/bookdb/book_detail.nhn?bid=13608542,
왜 세계의 절반은 굶주리는가,일반 서적,장 지글러(사회학자) 저,갈라파고스,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10370447,
월경독서,일반 서적,목수정,생각정원,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7284218,
유혹의 학교,일반 서적,이서희,한겨레출판사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10645163,
이것이 인간인가,일반 서적,프리모 레비,돌베개,2020-02-19,,http://book.naver.com/bookdb/book_detail.nhn?bid=2626609,
인간 불평등 기원론,일반 서적,장 자크 루소,문예출판사,2020-02-07,,http://book.naver.com/bookdb/book_detail.nhn?bid=16240172,
인생의 발견,일반 서적,시어도어 젤딘,어크로스,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=11417943,
일의 기쁨과 슬픔,일반 서적,알랭드보통,은행나무,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6829443,
전쟁과 자본주의,일반 서적,베르너 좀바르트,문예출판사,2019-10-24,http://cafedoing.com/220996937473,https://book.naver.com/bookdb/book_detail.nhn?bid=15653742,
참을 수 없는 존재의 가벼움,일반 서적,밀란 쿤데라,민음사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=4434,
철학의 위안,일반 서적,알랭드보통,청미래,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6873547,
체르노빌의 아이들,일반 서적,하로세 다카시,프로메테우스,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6623757,
타인보다 더 민감한 사람 : 내 안의 잠재력을 깨우는 자기발견의 심리학,일반 서적,일레인 N. 아론,웅진지식하우스,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=11737160,
파리의 생활 좌파들 ,일반 서적,목수정,생각정원,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=9411932,
페다고지,일반 서적,파울로 프레이리,그린비,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6057235,
퐁퐁 달리아,일반 서적,신혜진,은행나무,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6983078,
한국 다문화주의 비판,일반 서적,"김희강, 이용승, 김현미, 윤석민, 구본규, 이화숙, 이진형, 박종명, 주재원, 오문석, 김주영, 박미정, 양명심, 박휴용",앨피,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10736724,
한국 신자유주의의 기원과 형성,일반 서적,지주형,책세상,2019-02-20,,https://book.naver.com/bookdb/book_detail.nhn?bid=6778151,
한낮의 우울,일반 서적,앤드류 솔로몬,민음사,2019-02-20,,https://book.naver.com/bookdb/book_detail.nhn?bid=6778151,
헤세시집,일반 서적,헤르만 헤세,범우사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=11445764,
혼자 산다는 것에 대하여,일반 서적,노명우,사월의책,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7320633,
그들은 왜 일본군 ‘위안부’를 공격하는가,일본군 위안부  ,한국정신대문제대책협의회,휴머니스트,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=8385442,
그래도 나는 피었습니다,일본군 위안부  ,문영숙,서울셀렉션,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=11141707,
기억으로 다시 쓰는 역사 ,일본군 위안부  ,한국정신대문제대책협의회,풀빛,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6714904,
내셔널리즘과 젠더 ,일본군 위안부  ,우에노 치즈코,박종철출판사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=71455,
내셔널리즘의 틈새에서,일본군 위안부  ,아마시타 영애,한울,2018-09-21,http://cafedoing.com/220969482502,https://book.naver.com/bookdb/book_detail.nhn?bid=6830883,
몇 번을 지더라도 나는 녹슬지 않아,일본군 위안부  ,가와타 후미코,바다출판사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10280894,
못다 핀 꽃,일본군 위안부  ,이경신,휴머니스트,2019-03-22,http://cafedoing.com/221512833584,https://book.naver.com/bookdb/book_detail.nhn?bid=13786552,
법정에 새긴 진실,일본군 위안부  ,근로정신대 할머니와 함께하는 시민모임,도서출판선인,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10660742,
빨간기와집,일본군 위안부  ,가와다 후미코,꿈교출판사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=8005033,
위안부를 둘러싼 기억의 정치,일본군 위안부  ,우에노 지즈코,현실문화,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7786878,
일본군 ‘위안부’가 된 소녀들,일본군 위안부  ,이시카와 이쓰코,삼천리,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=8143990,
전시 하 여성폭력에 맞서는 기억와 연대,일본군 위안부  ,,전쟁과여성인권박물관 개관 5주년 국제 심포지엄 자료집,2018-09-21,,,
제국의 변호인 박유하에게 묻다,일본군 위안부  ,손종업,말,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10535707,
조선인 군위안부와 일본군 위안소제도,일본군 위안부  ,윤명숙,이학사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=8814431,
천당허고 지옥이 그만큼 칭하가 날라나?,일본군 위안부  ,최현숙,이매진,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7362411,
한국정신대문제대책협의회 20년사,일본군 위안부  ,편찬위원회,한울,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7486900,
한국 페미니즘과 우리,일본어,미야카와마키,합동회사 타바북스,2019-11-22,,,
2012 특별초청 가나다 토론회,자료집 1,지구지역행동네트워크,지구지역행동네트워크,2018-09-21,,,
2012 포럼주간,자료집 1,지구지역행동네트워크,지구지역행동네트워크,2018-09-21,,,
2016 한국 중국 멕시코 공동 페미니즘 학교,자료집 1,지구지역행동네트워크,지구지역행동네트워크,2018-09-21,,,
2016 한국 중국 멕시코 국가폭력 증언대회/지구지역 액티비즘 포럼,자료집 1,지구지역행동네트워크,지구지역행동네트워크,2018-09-21,,,
2018년 피해자 지원을 위한 국제연대체 구축 사업 보고서,자료집 1,한국사이버성폭력대응센터,한국사이버성폭력대응센터,2018-11-21,,,
2019 무지개 책갈피 퀴어문학 포럼,자료집 1,무지개책갈피,무지개책갈피,2020-02-06,,,
그녀들의 핸드메이드스토리,자료집 1,서울시여성가족재단 살림센터,서울시여성가족재단 살림센터,2019-01-17,,,
여성메이커스2018,자료집 1,서울여성가족재단 살림센터,서울여성가족재단 살림센터,2019-01-17,,,
우리가 만드는 성평등,자료집 1,성평동,성평동,2018-10-26,,,
우리가 만드는 피임사전,자료집 1,건강과 대안 젠더건강팀,건강과 대안 젠더건강팀,2018-09-21,,,
우리동네 젠더스쿨,자료집 1,서울시성평등활동지원센터,서울시성평등활동지원센터,2019-01-20,,,
웹진 글로컬포인트 창간준비호 + 창간호 합본,자료집 1,지구지역행동네트워크 웹진,지구지역행동네트워크,2018-09-21,,,
임신중절을 겪은 미혼 여성의 미술피료 체험연구,자료집 1,구슬희,차의과학대학교 미술치료 대학원 임상미술치료 ,2019-03-22,,,
2018 젠더거버넌스 서울시와 25개 자치구 활동기록집,자료집 2,서울특별시 서울YWCA 풀뿌리여성네트워크바람 서울시여성가족재단,서울특별시 서울YWCA 풀뿌리여성네트워크바람 서울시여성가족재단,2019-01-08,,,
2018년 청년이 제안하는 성평등 정책,자료집 2,여성가족부,여성가족부,2018-09-21,,,
국제심포지엄:전시 하 여성폭력에 맞서는 기억과 연대,자료집 2,한국정신대문제대책협의회,한국정신대문제대책협의회,2018-09-21,,,
나는 페미니스트다,자료집 2,"한국여성학회, 한국여성의전화",한국여성학회,2018-09-21,,,
담넘어 ;  담을 넘어 세상을 걸어가는 페미니스트들의 이야기 2018,자료집 2,서울특별시 서울YWCA 풀뿌리여성네트워크바람 서울시여성가족재단,서울특별시 서울YWCA 풀뿌리여성네트워크바람 서울시여성가족재단,2019-01-08,,,
"미투운동, 성평등 추진체계를 바꾸다",자료집 2,한국여성단체연합,한국여성단체연합,2019-02-19,,,
"미투운동, 예산을 바꾸다",자료집 2,한국여성단체연합,한국여성단체연합,2019-02-19,,,
"미투운동,법을 바꾸다",자료집 2,한국여성단체연합,한국여성단체연합,2019-02-19,,,
사이버페미니즘 세미나 커리큘럼,자료집 2,i-commune,,2018-09-21,,,
시민사회단체 성평등한 조직문화 만들기 워크북,자료집 2,한국여성민우회,한국여성민우회,2018-09-21,,,
여성회의:새로운 물결-페미니즘-이어달리기,자료집 2,한국여성재단,한국여성재단,2018-09-21,,,
학교에서 무지개길 찾기 가이드북,자료집 2,띵동,띵동,2018-10-23,,,
학술포럼: 대학원-학부 젠더연구 네트워킹,자료집 2,서울대학교 여성학협동과정 자치회,서울대학교 여성학협동과정 자치회,2018-09-21,,,
한국여성학회 2018년 제 7회 여름캠프 '여성학 죽이기',자료집 2,한국여성학회,한국여성학회,2018-09-21,,,
거부당한 몸,질병 / 장애,수전 웬델,그린비,2018-09-21,http://cafedoing.com/221046402245,https://book.naver.com/bookdb/book_detail.nhn?bid=7124888,
나는 나쁜 장애인이고 싶다,질병 / 장애,김창엽,삼인,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=112278,
나를 대단하다고 하지 마라,질병 / 장애,해릴린 루소,책세상,2018-09-21,https://blog.naver.com/cafedoing/221543117444,https://book.naver.com/bookdb/book_detail.nhn?bid=8942570,
면역에 관하여,질병 / 장애,율라 비스,열린책들,2018-12-22,,http://book.naver.com/bookdb/book_detail.nhn?bid=11332186,
모든 몸은 평등하다,질병 / 장애,김효진 외 지음,삶창,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7014806,
반짝이는 박수 소리,질병 / 장애,이길보라,한겨레출판사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=9779615,
보통이 아닌 몸,질병 / 장애,로즈메리 갈런드 톰슨,그린비,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=9138700,
아파도 미안하지 않습니다,질병 / 장애,조한진희,동녘,2019-05-25,http://cafedoing.com/221547064243,http://book.naver.com/bookdb/book_detail.nhn?bid=14962551,
아픈 몸을 살다,질병 / 장애,아서 프랭크,봄날의책,2018-09-21,http://cafedoing.com/221111596828,https://book.naver.com/bookdb/book_detail.nhn?bid=12248590,
아플 수 있잖아,질병 / 장애,한국여성민우회,한국여성민우회,2018-09-21,http://cafedoing.com/221353177409,,
아픔이 길이 되려면,질병 / 장애,김승섭,동아시아,2018-09-21,http://cafedoing.com/221199693255,https://book.naver.com/bookdb/book_detail.nhn?bid=12527802,
